"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"20MICRONS","EQ","25-Nov-2019","         33.10","         33.95","         34.20","         33.25","         34.20","         33.75","         33.66","      18473","              621868.85","        262","      14613","         79.10"
"20MICRONS","EQ","26-Nov-2019","         33.75","         34.95","         35.00","         33.60","         34.00","         33.80","         34.19","      20516","              701441.15","        344","       8062","         39.30"
"20MICRONS","EQ","27-Nov-2019","         33.80","         33.60","         35.00","         33.60","         34.65","         34.35","         34.67","      61280","             2124607.60","        380","      49274","         80.41"
"20MICRONS","EQ","28-Nov-2019","         34.35","         34.65","         34.65","         33.95","         34.00","         34.10","         34.21","      25836","              883833.35","        464","       7909","         30.61"
"20MICRONS","EQ","29-Nov-2019","         34.10","         33.85","         34.40","         33.40","         33.40","         33.55","         33.91","      37909","             1285362.25","        621","      16359","         43.15"
"20MICRONS","EQ","02-Dec-2019","         33.55","         33.90","         34.25","         33.15","         33.55","         33.50","         33.65","      23479","              790102.30","        232","      11404","         48.57"
"20MICRONS","EQ","03-Dec-2019","         33.50","         33.90","         33.90","         33.05","         33.45","         33.35","         33.31","      10724","              357267.20","        263","       5924","         55.24"
"20MICRONS","EQ","04-Dec-2019","         33.35","         33.40","         34.15","         32.05","         33.15","         32.90","         33.08","      39382","             1302708.65","        557","      17350","         44.06"
"20MICRONS","EQ","05-Dec-2019","         32.90","         33.20","         33.75","         32.55","         32.60","         32.70","         33.20","      15464","              513382.40","        203","       5502","         35.58"
"20MICRONS","EQ","06-Dec-2019","         32.70","         33.50","         33.50","         32.30","         32.35","         32.55","         32.88","      14291","              469860.45","        208","       5854","         40.96"
"20MICRONS","EQ","09-Dec-2019","         32.55","         33.40","         33.40","         32.10","         32.50","         32.35","         32.66","       9555","              312100.85","        188","       4633","         48.49"
"20MICRONS","EQ","10-Dec-2019","         32.35","         32.95","         33.00","         31.80","         32.35","         32.10","         32.18","      31818","             1023762.30","        292","      20919","         65.75"
"20MICRONS","EQ","11-Dec-2019","         32.10","         32.05","         32.40","         31.65","         32.05","         32.25","         31.93","      20018","              639128.30","        305","      10422","         52.06"
"20MICRONS","EQ","12-Dec-2019","         32.25","         31.80","         32.60","         31.70","         31.90","         32.10","         32.09","      11755","              377159.20","        282","       5688","         48.39"
"20MICRONS","EQ","13-Dec-2019","         32.10","         32.40","         32.40","         31.50","         31.60","         31.75","         31.85","      19111","              608774.90","        360","      10477","         54.82"
"20MICRONS","EQ","16-Dec-2019","         31.75","         31.75","         32.25","         31.75","         32.05","         32.00","         31.99","       9268","              296506.70","        301","       6034","         65.11"
"20MICRONS","EQ","17-Dec-2019","         32.00","         32.25","         32.30","         31.60","         31.90","         31.90","         31.93","      15159","              484008.25","        398","       9495","         62.64"
"20MICRONS","EQ","18-Dec-2019","         31.90","         32.00","         32.20","         31.75","         31.75","         31.90","         31.95","      13814","              441398.95","        112","       7995","         57.88"
"20MICRONS","EQ","19-Dec-2019","         31.90","         32.00","         32.65","         31.75","         32.15","         32.30","         32.26","      13320","              429763.35","        321","       5238","         39.32"
"20MICRONS","EQ","20-Dec-2019","         32.30","         33.50","         33.50","         32.40","         32.65","         32.80","         32.75","      16550","              542012.30","        208","       7912","         47.81"
"20MICRONS","EQ","23-Dec-2019","         32.80","         32.95","         33.15","         32.10","         32.40","         32.25","         32.57","      13077","              425952.30","        183","       6784","         51.88"
"20MICRONS","EQ","24-Dec-2019","         32.25","         32.00","         33.00","         31.35","         32.35","         32.25","         31.86","      29280","              932825.30","        477","      12093","         41.30"
